1,-178.75,-176.25,-173.75,-171.25,-168.75,-166.25,-163.75,-161.25,-158.75,-156.25,-153.75,-151.25,-148.75,-146.25,-143.75,-141.25,-138.75,-136.25,-133.75,-131.25,-128.75,-126.25,-123.75,-121.25,-118.75,-116.25,-113.75,-111.25,-108.75,-106.25,-103.75,-101.25,-98.75,-96.25,-93.75,-91.25,-88.75,-86.25,-83.75,-81.25,-78.75,-76.25,-73.75,-71.25,-68.75,-66.25,-63.75,-61.25,-58.75,-56.25,-53.75,-51.25,-48.75,-46.25,-43.75,-41.25,-38.75,-36.25,-33.75,-31.25,-28.75,-26.25,-23.75,-21.25,-18.75,-16.25,-13.75,-11.25,-8.75,-6.25,-3.75,-1.25,1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75,51.25,53.75,56.25,58.75,61.25,63.75,66.25,68.75,71.25,73.75,76.25,78.75,81.25,83.75,86.25,88.75,91.25,93.75,96.25,98.75,101.25,103.75,106.25,108.75,111.25,113.75,116.25,118.75,121.25,123.75,126.25,128.75,131.25,133.75,136.25,138.75,141.25,143.75,146.25,148.75,151.25,153.75,156.25,158.75,161.25,163.75,166.25,168.75,171.25,173.75,176.25,178.75,2
88.75,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.61,2.61,2.61,2.61,2.61,2.62,2.62,2.62,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.62,2.62,2.62,2.62,2.62,2.62,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,88.75
86.25,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.6,2.6,2.6,2.6,2.61,2.61,2.61,2.62,2.62,2.63,2.64,2.65,2.65,2.65,2.67,2.68,2.68,2.68,2.7,2.7,2.7,2.71,2.72,2.73,2.73,2.73,2.73,2.73,2.73,2.72,2.72,2.72,2.72,2.72,2.71,2.71,2.7,2.69,2.68,2.66,2.64,2.62,2.59,2.57,2.54,2.52,2.5,2.49,2.48,2.48,2.48,2.48,2.48,2.49,2.5,2.51,2.53,2.55,2.57,2.59,2.62,2.64,2.66,2.69,2.71,2.73,2.75,2.76,2.78,2.8,2.8,2.81,2.83,2.82,2.83,2.83,2.83,2.83,2.82,2.82,2.81,2.8,2.79,2.78,2.76,2.75,2.74,2.72,2.71,2.7,2.68,2.67,2.66,2.66,2.65,2.64,2.64,2.63,2.62,2.61,2.6,2.59,2.58,2.57,2.57,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.57,2.57,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.59,2.59,2.59,2.59,2.59,2.59,2.59,86.25
83.75,2.91,2.92,2.92,2.92,2.93,2.94,2.93,2.93,2.93,2.92,2.91,2.91,2.9,2.89,2.89,2.88,2.89,2.88,2.88,2.88,2.88,2.89,2.89,2.9,2.9,2.91,2.9,2.91,2.89,2.88,2.85,2.85,2.8,2.79,2.74,2.7,2.65,2.58,2.52,2.43,2.45,2.36,2.38,2.39,2.41,2.5,2.55,2.59,2.61,2.62,2.59,2.52,2.4,2.27,2.22,2.1,1.97,1.83,1.7,-999,-999,2.69,2.73,2.71,2.69,2.67,2.66,2.62,2.61,2.61,2.62,2.65,2.68,2.74,2.79,2.86,2.92,2.99,3.05,3.1,3.18,3.2,3.28,3.28,3.35,3.34,3.38,3.38,3.4,3.39,3.4,3.39,3.37,3.36,3.33,3.3,3.26,3.21,3.16,3.11,3.06,3.01,2.96,2.92,2.89,2.86,2.84,2.83,2.82,2.82,2.82,2.81,2.81,2.8,2.79,2.78,2.77,2.77,2.76,2.76,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.74,2.73,2.73,2.73,2.73,2.74,2.75,2.76,2.78,2.8,2.82,2.84,2.86,2.87,2.88,2.9,83.75
81.25,3.47,3.5,3.52,3.54,3.57,3.57,3.57,3.57,3.56,3.55,3.54,3.51,3.5,3.47,3.44,3.42,3.39,3.37,3.34,3.31,3.28,3.24,3.21,3.17,3.13,3.08,3,2.93,2.82,2.76,2.68,2.6,2.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.41,3.31,3.23,3.16,3.17,3.24,3.48,3.61,3.72,3.75,3.65,3.62,3.61,3.69,3.79,3.94,4.04,4.09,4.1,4.11,4.09,4.05,4,3.96,3.94,3.95,3.92,3.91,-999,-999,3.82,3.82,3.78,3.67,3.53,3.38,3.23,3.07,2.94,2.85,2.82,2.8,-999,-999,-999,2.85,2.94,3.03,3.11,3.18,3.25,3.31,3.35,3.39,3.4,3.4,3.38,3.37,3.36,3.35,3.35,3.34,3.33,3.32,3.3,3.28,3.27,3.27,3.28,3.29,3.31,3.34,3.37,3.39,3.4,3.42,3.44,81.25
78.75,4.33,4.39,4.43,4.45,4.48,4.51,4.49,4.51,4.5,4.45,4.42,4.33,4.28,4.19,4.15,4.08,4.04,3.98,3.92,3.84,3.75,3.64,3.49,3.31,3.08,2.78,2.52,-999,2.37,2.41,2.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.98,4.62,4.32,4.21,4.24,4.42,4.69,5.27,5.92,5.66,3.88,2.17,-999,-999,-999,-999,-999,7.3,6.71,6.26,5.9,5.61,5.38,5.18,5.01,4.94,4.95,4.97,5.04,5.1,5.07,4.97,4.84,4.69,4.51,4.31,4.06,3.82,3.62,3.45,3.33,3.29,3.32,3.43,-999,-999,-999,-999,-999,3.99,4.12,4.28,4.4,4.47,4.52,4.55,4.57,4.56,4.54,4.52,4.51,4.52,4.55,4.55,4.53,4.51,4.47,4.44,4.41,4.39,4.38,4.35,4.3,4.25,4.22,4.21,4.23,4.27,4.3,78.75
76.25,5.7,5.81,5.89,5.91,5.92,5.84,5.79,5.91,6.01,6.07,6.03,5.88,5.72,5.53,5.4,5.27,5.15,5.05,4.94,4.84,4.67,4.35,3.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.31,4.89,3.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.15,5.87,5.63,5.79,6.43,7.59,9.27,11.21,12.93,13.26,11.59,8.19,4.3,1.85,2.62,6.7,7.76,7.81,6.9,6.13,6.06,6.52,6.64,6.38,5.99,5.76,5.69,5.7,5.63,5.47,5.29,-999,-999,-999,-999,5.18,5.06,4.88,4.65,4.41,4.17,3.97,3.87,3.81,3.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.54,5.57,5.53,5.54,5.6,5.69,5.77,5.82,5.78,-999,-999,-999,-999,-999,6.16,6.19,6.14,6.01,5.9,5.81,5.74,5.67,5.6,5.57,5.58,5.63,76.25
73.75,7.02,7.15,7.3,7.41,7.42,7.29,7.11,6.91,6.91,7.1,7.27,7.32,7.3,7.25,7.17,6.99,6.77,6.45,6.08,5.72,5.29,4.83,-999,-999,-999,-999,-999,4.72,4.63,-999,4.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.22,2.87,2.44,2.03,1.82,1.76,1.77,1.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.77,7.22,9.07,11.99,15.08,17.72,18.9,17.86,14.96,11.31,7.41,3.39,-0.42,-2.2,-1.23,-1.1,-0.81,-0.8,-0.97,-0.69,0.75,2.64,4.17,5.23,6.11,6.71,7.01,7.08,-999,-999,-999,7.86,7.28,6.75,6.22,5.75,5.36,5.13,4.87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.37,5.03,-999,-999,5.59,5.68,5.7,5.82,5.92,6.01,6.24,6.47,6.71,7.03,7.33,7.45,7.46,7.46,7.46,7.42,7.31,7.17,7.03,6.96,6.94,73.75
71.25,-999,7.62,7.84,8.24,8.25,8.08,7.7,6.99,-999,-999,-999,-999,7.66,7.62,7.84,7.7,7.42,7.01,6.44,5.74,5.19,5.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.47,5.58,-999,-999,5.42,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.42,3.07,2.82,2.56,2.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.12,7.64,8.6,11.1,14.11,16.61,17.36,15.61,11.99,7.47,3.44,0.48,-1.59,-3.31,-5.69,-7.27,-6.61,-5.61,-999,-999,-999,-999,-0.29,1.69,3.55,5.31,6.69,7.7,8.46,-999,-999,9.68,9.11,8.41,7.68,7.13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.91,7.91,7.94,7.99,7.86,7.68,7.64,-999,71.25
68.75,-999,7.66,8.18,9.54,11.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.71,-999,-999,-999,-999,-999,-999,-999,-999,8.84,-999,-999,-999,-999,5.79,5.13,4.24,3.31,2.37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.78,4.02,3.97,3.31,2.57,2.36,1.77,-0.53,-3.23,-5.73,-8.06,-9.74,-10.78,-11.34,-11.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.96,6.61,7.27,8.33,8.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.75
