1,-178.75,-176.25,-173.75,-171.25,-168.75,-166.25,-163.75,-161.25,-158.75,-156.25,-153.75,-151.25,-148.75,-146.25,-143.75,-141.25,-138.75,-136.25,-133.75,-131.25,-128.75,-126.25,-123.75,-121.25,-118.75,-116.25,-113.75,-111.25,-108.75,-106.25,-103.75,-101.25,-98.75,-96.25,-93.75,-91.25,-88.75,-86.25,-83.75,-81.25,-78.75,-76.25,-73.75,-71.25,-68.75,-66.25,-63.75,-61.25,-58.75,-56.25,-53.75,-51.25,-48.75,-46.25,-43.75,-41.25,-38.75,-36.25,-33.75,-31.25,-28.75,-26.25,-23.75,-21.25,-18.75,-16.25,-13.75,-11.25,-8.75,-6.25,-3.75,-1.25,1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75,51.25,53.75,56.25,58.75,61.25,63.75,66.25,68.75,71.25,73.75,76.25,78.75,81.25,83.75,86.25,88.75,91.25,93.75,96.25,98.75,101.25,103.75,106.25,108.75,111.25,113.75,116.25,118.75,121.25,123.75,126.25,128.75,131.25,133.75,136.25,138.75,141.25,143.75,146.25,148.75,151.25,153.75,156.25,158.75,161.25,163.75,166.25,168.75,171.25,173.75,176.25,178.75,2
88.75,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,88.75
86.25,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,86.25
83.75,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,-999,-999,-999,-999,-999,-999,-999,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.11,0.12,0.14,0.17,0.21,0.25,0.29,0.32,0.35,0.37,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.4,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.36,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.21,0.2,0.19,0.18,0.17,0.16,0.14,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,83.75
81.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.12,0.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.08,0.09,0.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.27,0.25,0.23,0.22,0.24,0.32,0.47,0.64,0.85,1.15,1.46,1.72,1.79,1.67,1.51,1.36,1.26,1.19,1.17,1.15,1.21,1.27,1.28,1.25,1.24,1.24,-999,-999,0.95,0.91,-999,-999,1.09,1.29,1.41,1.39,1.32,1.24,1.18,1.15,1.16,1.17,-999,-999,0.86,0.8,0.72,0.64,0.56,0.49,0.43,0.38,0.36,0.34,0.33,0.32,0.31,0.29,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,81.25
78.75,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.08,-999,0.1,0.13,0.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.14,0.23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.76,0.7,0.62,0.55,0.49,0.45,0.17,-0.12,0.33,0.72,0.87,-999,-999,-999,-999,-999,1.25,1.29,1.34,1.46,1.61,1.78,2.03,2.36,2.63,2.79,2.85,2.77,2.57,2.4,2.31,2.23,2.19,2.24,2.31,2.29,2.13,1.9,1.7,1.53,1.41,1.36,1.38,1.47,1.57,1.62,1.51,-999,-999,-999,0.69,0.65,0.61,0.58,0.55,0.52,0.51,0.52,0.54,0.57,0.61,0.64,0.62,0.6,0.55,0.49,0.42,0.37,0.33,0.28,0.23,0.19,0.16,0.15,0.15,0.15,0.15,0.15,0.15,78.75
76.25,0.3,0.28,0.27,0.27,0.28,0.28,0.27,0.25,0.23,0.21,0.19,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.08,0.09,0.12,0.17,0.34,-999,-999,-999,-999,-999,-999,-999,0.17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.28,0.46,0.84,-999,1.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.79,0.56,0.45,0.47,0.22,0.14,0.17,0.23,0.39,0.59,0.66,0.63,0.55,0.54,0.77,1.11,1.32,1.43,1.56,1.73,1.97,2.25,2.47,2.54,2.49,2.43,2.32,2.26,2.3,2.46,-999,-999,-999,-999,1.29,1.42,1.46,1.38,1.34,1.33,1.4,1.54,1.64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6,0.62,0.64,0.69,0.78,0.9,1.03,1.07,0.88,-999,-999,-999,-999,0.19,0.25,0.31,0.32,0.3,0.28,0.28,0.3,0.32,0.35,0.37,0.36,0.34,76.25
73.75,0.55,0.65,0.71,0.71,0.68,0.65,0.61,0.6,0.6,0.54,0.43,0.34,0.27,0.23,0.22,0.22,0.25,0.33,0.49,0.81,1.28,1.71,-999,-999,-999,-999,0.84,0.74,0.66,-999,0.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.56,0.65,0.66,0.71,0.86,1.09,1.42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.78,0.79,0.85,0.19,-0.02,-0.32,-0.62,-0.79,-0.7,-0.38,0.04,0.33,0.49,0.59,0.64,0.73,0.85,0.9,0.95,1.01,1.12,1.27,1.45,1.59,1.66,1.7,1.69,1.58,1.45,-999,-999,2.03,1.82,1.64,1.52,1.36,-999,1.09,1.19,1.26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.22,-999,-999,-999,0.91,0.84,0.55,0.37,0.39,0.32,0.31,0.32,0.34,0.38,0.39,0.41,0.41,0.4,0.4,0.39,0.39,0.41,0.45,0.49,73.75
71.25,-999,0.9,0.81,0.73,0.7,0.74,0.84,0.97,-999,-999,-999,1.09,1.21,1.3,1.19,1.1,1.22,1.38,1.4,1.33,1.37,1.41,-999,1.72,1.87,-999,-999,-999,-999,-999,-999,0.92,1.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.58,0.74,0.69,0.82,1.18,1.63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.78,0.83,0.43,0.22,0.13,-0.01,-0.46,-0.58,-0.43,-0.23,-0.02,0.18,0.36,0.53,0.56,0.51,0.39,-999,-999,-999,0.71,0.89,1,1.08,1.13,1.14,1.09,1.08,1.11,-999,-999,1.7,1.87,1.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.24,0.25,0.15,0.1,0.12,0.15,0.29,-999,71.25
68.75,-999,-999,0.94,1.16,1.31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.7,1.78,-999,-999,-999,-999,-999,-999,0.97,1.24,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.89,0.8,0.76,0.59,0.46,0.55,0.56,0.63,0.64,0.4,0.1,-0.11,-0.05,0.13,0.3,0.37,0.41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.15,-999,-999,0.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.75
