1,-178.75,-176.25,-173.75,-171.25,-168.75,-166.25,-163.75,-161.25,-158.75,-156.25,-153.75,-151.25,-148.75,-146.25,-143.75,-141.25,-138.75,-136.25,-133.75,-131.25,-128.75,-126.25,-123.75,-121.25,-118.75,-116.25,-113.75,-111.25,-108.75,-106.25,-103.75,-101.25,-98.75,-96.25,-93.75,-91.25,-88.75,-86.25,-83.75,-81.25,-78.75,-76.25,-73.75,-71.25,-68.75,-66.25,-63.75,-61.25,-58.75,-56.25,-53.75,-51.25,-48.75,-46.25,-43.75,-41.25,-38.75,-36.25,-33.75,-31.25,-28.75,-26.25,-23.75,-21.25,-18.75,-16.25,-13.75,-11.25,-8.75,-6.25,-3.75,-1.25,1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75,51.25,53.75,56.25,58.75,61.25,63.75,66.25,68.75,71.25,73.75,76.25,78.75,81.25,83.75,86.25,88.75,91.25,93.75,96.25,98.75,101.25,103.75,106.25,108.75,111.25,113.75,116.25,118.75,121.25,123.75,126.25,128.75,131.25,133.75,136.25,138.75,141.25,143.75,146.25,148.75,151.25,153.75,156.25,158.75,161.25,163.75,166.25,168.75,171.25,173.75,176.25,178.75,2
88.75,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.58,2.58,2.58,2.58,2.58,2.58,2.57,2.57,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.59,2.59,2.59,2.59,2.59,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.59,2.59,2.59,2.59,2.59,2.59,2.59,2.58,2.58,2.58,2.58,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,88.75
86.25,2.54,2.54,2.54,2.54,2.55,2.55,2.55,2.55,2.56,2.56,2.56,2.56,2.57,2.57,2.58,2.58,2.58,2.59,2.59,2.6,2.61,2.61,2.62,2.63,2.64,2.65,2.65,2.67,2.67,2.67,2.67,2.69,2.7,2.7,2.7,2.71,2.72,2.72,2.72,2.73,2.73,2.73,2.72,2.73,2.72,2.72,2.72,2.72,2.72,2.71,2.7,2.69,2.67,2.65,2.63,2.61,2.59,2.56,2.54,2.52,2.51,2.5,2.5,2.49,2.49,2.5,2.5,2.51,2.52,2.54,2.55,2.57,2.59,2.61,2.63,2.65,2.67,2.69,2.71,2.73,2.74,2.76,2.77,2.77,2.78,2.8,2.79,2.79,2.8,2.8,2.79,2.79,2.78,2.77,2.76,2.75,2.74,2.73,2.71,2.7,2.69,2.67,2.66,2.65,2.64,2.63,2.62,2.61,2.6,2.6,2.59,2.58,2.57,2.56,2.55,2.54,2.53,2.52,2.52,2.52,2.51,2.51,2.51,2.51,2.51,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.53,2.53,2.53,2.53,2.53,2.54,86.25
83.75,2.83,2.84,2.85,2.85,2.87,2.87,2.87,2.87,2.87,2.87,2.86,2.86,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.86,2.87,2.87,2.88,2.87,2.87,2.85,2.85,2.82,2.81,2.77,2.75,2.71,2.67,2.62,2.56,2.51,2.42,2.44,2.34,2.36,2.37,2.39,2.48,2.53,2.57,2.59,2.6,2.57,2.51,2.4,2.29,2.29,2.21,2.11,1.99,1.87,-999,-999,2.73,2.75,2.72,2.7,2.68,2.67,2.63,2.63,2.63,2.65,2.68,2.72,2.77,2.82,2.89,2.95,3.01,3.08,3.12,3.2,3.21,3.29,3.29,3.35,3.35,3.38,3.38,3.4,3.39,3.39,3.38,3.37,3.35,3.32,3.29,3.24,3.2,3.14,3.09,3.04,2.99,2.95,2.91,2.87,2.84,2.82,2.8,2.78,2.76,2.75,2.74,2.73,2.72,2.71,2.7,2.7,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.7,2.7,2.7,2.69,2.69,2.68,2.67,2.67,2.66,2.66,2.67,2.68,2.7,2.72,2.74,2.76,2.77,2.79,2.8,2.82,83.75
81.25,3.37,3.4,3.42,3.45,3.47,3.48,3.48,3.49,3.47,3.46,3.46,3.44,3.43,3.41,3.38,3.36,3.33,3.31,3.28,3.25,3.22,3.19,3.16,3.12,3.08,3.03,2.95,2.89,2.78,2.71,2.63,2.56,2.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.38,3.3,3.24,3.2,3.23,3.32,3.58,3.72,3.84,3.88,3.79,3.77,3.76,3.83,3.91,4.04,4.13,4.17,4.18,4.19,4.19,4.15,4.1,4.06,4.04,4.04,4,3.97,-999,-999,3.86,3.89,3.87,3.8,3.7,3.57,3.44,3.31,3.19,3.1,3.03,2.95,-999,-999,-999,2.71,2.81,2.9,2.98,3.06,3.13,3.19,3.24,3.27,3.3,3.3,3.3,3.29,3.29,3.28,3.27,3.26,3.25,3.23,3.2,3.18,3.17,3.16,3.16,3.17,3.19,3.22,3.25,3.27,3.29,3.31,3.34,81.25
78.75,4.19,4.25,4.29,4.31,4.34,4.37,4.36,4.38,4.37,4.33,4.3,4.23,4.18,4.1,4.06,4,3.96,3.9,3.84,3.77,3.68,3.58,3.44,3.26,3.04,2.76,2.51,-999,2.37,2.4,2.68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.94,4.62,4.36,4.31,4.38,4.59,4.87,5.38,5.81,5.16,3.09,1.17,-999,-999,-999,-999,-999,7.05,6.49,6.07,5.74,5.47,5.27,5.07,4.91,4.83,4.81,4.81,4.87,4.93,4.91,4.84,4.76,4.66,4.56,4.44,4.29,4.13,3.99,3.86,3.76,3.75,3.79,3.87,-999,-999,-999,-999,-999,3.69,3.86,4.04,4.17,4.27,4.33,4.37,4.4,4.42,4.41,4.39,4.38,4.39,4.42,4.42,4.41,4.38,4.35,4.3,4.25,4.22,4.2,4.17,4.13,4.1,4.08,4.08,4.11,4.14,4.17,78.75
76.25,5.5,5.59,5.67,5.69,5.7,5.64,5.6,5.71,5.83,5.89,5.85,5.71,5.55,5.38,5.25,5.13,5.02,4.93,4.82,4.74,4.59,4.31,3.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.29,4.88,3.73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.08,5.84,5.65,5.85,6.49,7.58,9.1,10.76,12.11,12.16,10.37,6.94,3.05,0.57,1.16,5.44,6.64,6.75,5.84,5.04,5.05,5.69,5.96,5.84,5.58,5.43,5.42,5.5,5.51,5.43,5.34,-999,-999,-999,-999,5.22,5.15,5.05,4.92,4.8,4.66,4.51,4.43,4.37,4.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.25,5.27,5.24,5.23,5.31,5.42,5.53,5.65,5.7,-999,-999,-999,-999,-999,5.87,5.91,5.87,5.75,5.64,5.55,5.49,5.45,5.39,5.36,5.38,5.43,76.25
73.75,6.71,6.87,7.04,7.17,7.19,7.07,6.91,6.74,6.78,6.98,7.15,7.2,7.19,7.14,7.07,6.92,6.73,6.47,6.18,5.94,5.66,5.26,-999,-999,-999,-999,-999,4.68,4.56,-999,4.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.14,2.83,2.39,1.97,1.73,1.66,1.66,1.66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.73,7.15,8.89,11.58,14.37,16.74,17.81,16.88,14.18,10.55,6.61,2.68,-0.96,-2.64,-1.74,-1.71,-1.47,-1.42,-1.5,-1.13,0.39,2.4,4.01,5.14,6.03,6.66,7,7.13,-999,-999,-999,7.55,7.12,6.74,6.31,5.85,5.56,5.45,5.26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.15,4.89,-999,-999,5.41,5.56,5.63,5.78,5.87,5.96,6.11,6.31,6.46,6.66,6.87,6.99,7.04,7.07,7.09,7.06,6.95,6.84,6.71,6.62,6.62,73.75
71.25,-999,7.37,7.71,8.15,8.18,7.95,7.51,6.82,-999,-999,-999,-999,7.74,7.77,8.06,7.96,7.75,7.46,7.01,6.33,5.72,5.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.52,5.63,-999,-999,5.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.2,2.96,2.81,2.59,2.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.12,7.6,8.39,10.58,13.24,15.46,16.12,14.58,11.41,7.25,3.31,0.33,-1.76,-3.43,-5.64,-7.06,-6.41,-5.45,-999,-999,-999,-999,0.18,2.14,3.87,5.51,6.81,7.74,8.38,-999,-999,9.47,8.98,8.31,7.66,7.29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.34,7.42,7.46,7.48,7.37,7.26,7.24,-999,71.25
68.75,-999,7.59,8.13,9.4,11.18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.83,-999,-999,-999,-999,-999,-999,-999,-999,8.74,-999,-999,-999,-999,5.4,4.89,4.16,3.32,2.51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.12,4.21,3.92,2.95,2.06,1.91,1.54,-0.52,-3.05,-5.46,-7.76,-9.43,-10.41,-10.86,-11.01,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.05,6.52,7.12,8.09,8.56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.75
66.25,-999,-999,-999,-999,14.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.51,7.9,8.47,-999,-999,-999,-999,-999,5.5,4.05,1.24,-0.96,-999,-999,-999,-999,-999,-999,-999,-999,-6.02,-16.38,-25.58,-999,-999,-999,-999,-999,-28.44,-26.89,-21.74,-17.4,-13.72,-11.15,-11.54,-12.92,-13.34,-12.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66.25
63.75,16.08,17.01,17.4,17.79,18.51,17.62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.54,-999,-999,-999,-999,-999,6.54,4.32,-4.05,-22.56,-31.19,-999,-999,-999,-999,-999,-20.9,-27.79,-35.59,-41.83,-42.43,-40.49,-35.4,-999,-999,-999,-999,-36.83,-32.53,-28.11,-23.67,-18.43,-14.96,-14.17,-14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63.75
61.25,20.15,22.09,22.35,21.63,21.53,20.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.82,9.77,9.9,10.33,10.87,11.14,-999,-999,-999,9.06,8.1,6.34,1.95,-14.05,-28.49,-32.93,-33.83,-999,-999,-999,-28.54,-30.04,-27.33,-26.84,-27.92,-28.47,-28.41,-27.97,-26.9,-25.3,-24,-22.69,-21.2,-20.16,-18.04,-16.68,-16.52,-14.92,-12.35,-999,-999,-999,-999,-999,2.85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.47,-999,-999,-999,-999,-999,-999,20.23,19.68,61.25
58.75,20.12,20.76,21.31,22.16,23.05,23.17,23.31,-999,-999,-999,-999,-999,21.39,20.82,20.5,20.44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.74,11.48,11.48,11.86,12.55,13.52,-999,-999,-999,-999,-999,-999,6.57,-4.23,-22.34,-28.09,-28.96,-29.95,-30.76,-30.7,-29.72,-27.57,-27.13,-29.73,-32.76,-33.13,-32.75,-32.04,-30.17,-26.96,-23.4,-20.14,-18.06,-17.84,-16.56,-15.1,-13.36,-11.67,-9.19,-999,-999,-999,-999,-999,2.06,2.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.53,-999,-999,21.01,20.73,20.15,19.68,19.43,19.33,19.56,58.75
56.25,18.2,18.7,19.15,19.66,20.42,21.65,23.36,23.72,-999,21.63,21.29,20.89,20.41,20.04,19.74,19.51,19.39,19.46,19.56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.29,16.62,-999,-999,-999,-999,-999,-999,-999,4.99,-4.26,-14.77,-19.95,-22.15,-23.61,-23.32,-21.79,-21.27,-24.1,-29.51,-33.66,-34.76,-32.83,-29.39,-26.47,-22.41,-19.41,-17.73,-17.42,-16.9,-999,-999,-7.34,-7.23,-6.09,-4.48,-999,-999,-999,-999,1.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.88,12.62,14.63,17.8,19.64,20.25,20.71,-999,-999,-999,20.06,19.59,19.04,18.47,17.99,17.74,17.84,56.25
53.75,16.31,16.66,17.14,17.7,18.41,19.66,20.86,20.74,20.41,20.15,19.95,19.61,19.3,19,18.67,18.48,18.38,18.44,18.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.52,-6.96,-13.09,-15.35,-15.37,-14.69,-14.84,-16.6,-18.98,-20.26,-20.4,-20.27,-21.31,-23.57,-22.62,-19.97,-17.03,-15.51,-999,-999,-999,-999,-3.06,-2.72,-2.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.77,17.84,19.57,20.06,20.05,-999,-999,-999,18.84,18.56,18.1,17.55,16.89,16.37,16.19,53.75
