1,-178.75,-176.25,-173.75,-171.25,-168.75,-166.25,-163.75,-161.25,-158.75,-156.25,-153.75,-151.25,-148.75,-146.25,-143.75,-141.25,-138.75,-136.25,-133.75,-131.25,-128.75,-126.25,-123.75,-121.25,-118.75,-116.25,-113.75,-111.25,-108.75,-106.25,-103.75,-101.25,-98.75,-96.25,-93.75,-91.25,-88.75,-86.25,-83.75,-81.25,-78.75,-76.25,-73.75,-71.25,-68.75,-66.25,-63.75,-61.25,-58.75,-56.25,-53.75,-51.25,-48.75,-46.25,-43.75,-41.25,-38.75,-36.25,-33.75,-31.25,-28.75,-26.25,-23.75,-21.25,-18.75,-16.25,-13.75,-11.25,-8.75,-6.25,-3.75,-1.25,1.25,3.75,6.25,8.75,11.25,13.75,16.25,18.75,21.25,23.75,26.25,28.75,31.25,33.75,36.25,38.75,41.25,43.75,46.25,48.75,51.25,53.75,56.25,58.75,61.25,63.75,66.25,68.75,71.25,73.75,76.25,78.75,81.25,83.75,86.25,88.75,91.25,93.75,96.25,98.75,101.25,103.75,106.25,108.75,111.25,113.75,116.25,118.75,121.25,123.75,126.25,128.75,131.25,133.75,136.25,138.75,141.25,143.75,146.25,148.75,151.25,153.75,156.25,158.75,161.25,163.75,166.25,168.75,171.25,173.75,176.25,178.75,2
88.75,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,88.75
86.25,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,86.25
83.75,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,-999,-999,-999,-999,-999,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,83.75
81.25,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.08,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.07,0.08,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.08,0.1,0.11,0.12,-999,-999,-999,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,81.25
78.75,0.08,0.09,0.09,0.09,0.1,0.11,0.13,0.14,0.15,0.16,0.16,0.17,0.17,0.16,0.15,0.14,0.13,0.11,0.09,0.07,0.05,0.04,0.03,0.03,0.02,0.01,-0.01,-999,-999,-999,-999,-0.23,0.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.02,0.08,0.15,0.15,0.11,0.08,0.07,0.06,0.08,0.09,0.11,0.14,-999,-999,-999,-999,-999,-999,-0.09,-0.07,-0.02,0.01,0.04,0.07,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.1,0.12,0.15,0.18,0.2,0.22,-999,-999,-999,-999,-999,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,78.75
76.25,0.15,0.15,0.16,0.17,0.19,0.22,0.25,0.28,0.3,0.32,0.33,0.33,0.32,0.31,0.28,0.25,0.21,0.17,0.13,0.1,0.08,0.09,-999,-999,-999,-999,-999,-999,0.01,0.01,-999,0.01,0.02,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,0.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.09,0.12,0.1,0.09,0.11,0.12,0.13,0.14,0.18,0.3,0.39,0.35,-999,0.06,0.04,0.02,0.03,0.09,0.14,0.15,0.18,0.2,0.24,0.28,0.29,0.27,0.23,0.2,0.17,0.16,-999,-999,-999,-999,0.14,0.14,0.14,0.15,0.22,0.29,0.37,0.42,-999,-999,0.62,-999,-999,-999,-999,-999,-999,0.2,0.19,0.18,0.19,0.2,0.21,0.22,0.26,0.31,0.34,-999,-999,-999,0.26,0.22,0.18,0.16,0.15,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.16,0.15,76.25
73.75,0.26,0.24,0.24,0.28,0.32,0.36,0.41,0.49,0.57,0.6,0.59,0.6,0.59,0.55,0.49,0.45,0.41,0.36,0.33,0.35,0.41,-999,-999,-999,-999,-999,0.17,0.11,0.07,-999,-999,-999,-999,-999,-999,-999,0.12,-999,0.12,-999,-999,0.08,0.23,0.34,0.41,0.45,0.45,0.35,0.17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0.02,0.02,0.05,0.11,0.15,0.16,0.16,0.24,0.49,0.76,0.94,1.15,1.31,0.79,0.48,0.45,0.43,0.4,0.37,0.38,0.42,0.46,0.51,0.56,0.57,0.62,0.69,-999,-999,-999,0.25,0.26,0.24,0.23,-999,0.27,0.31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.47,-999,0.44,-999,-999,-999,0.48,0.52,0.63,0.81,-999,-999,-999,0.35,0.31,0.3,0.31,0.32,0.3,0.29,0.28,0.3,0.33,0.34,0.32,0.29,73.75
71.25,-999,-0.13,-0.03,0.12,0.24,0.42,0.67,0.82,-999,-999,-999,0.99,1.02,0.9,0.79,0.7,0.68,0.74,0.83,0.88,0.89,0.97,-999,-999,0.5,-999,-999,-999,-999,-999,-999,0.2,-999,-999,-999,0.13,-999,-999,-999,-999,-999,-999,-999,-999,0.22,0.35,0.52,0.63,0.6,0.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.1,-0.04,-0.04,-0.04,0,0.08,0.15,0.1,0.17,0.39,0.76,1.1,0.74,0.67,0.59,0.8,0.9,-999,-999,0.6,0.42,0.46,0.61,0.67,0.58,0.51,0.59,0.71,-999,-999,-999,0.19,0.38,0.45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.34,0.39,0.45,0.47,0.54,0.57,0.5,0.47,71.25
68.75,-999,-0.45,-0.21,0.02,0.17,0.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.19,-999,-999,-999,-999,-999,-999,-999,0.39,0.53,0.69,0.86,0.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.05,-0.07,-0.06,-0.04,0.01,0.08,0.13,0.19,-0.3,-0.59,-0.28,-0.04,0.13,0.35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.71,-999,-999,-999,-999,0.61,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.75
